상호명,행정동명,위도,경도,가게_주소
부어치킨,소사본동,37.4723910901354,126.797044951084,경기 부천시 소사로160번길 26-1 1층
떡사랑,소사본동,37.4725095353806,126.803385273678,경기 부천시 소사동로72번길 17
남촌숯불갈비,소사본동,37.4731483532726,126.795314408287,경기 부천시 소사로 165-2
영스비어,소사본동,37.4770678138516,126.795308019616,경기 부천시 소사로 211 1층
푸라닭,소사본동,37.4745586042744,126.798423398094,경기 부천시 은성로68번길 13
라홍방마라탕,소사본동,37.4731999389389,126.80393953194,경기 부천시 소사동로 82 1층 108호
국수와사랑에빠진날,소사본동,37.4773631702028,126.792465489287,경기 부천시 호현로 443
족발야시장,소사본동,37.4754451585627,126.79877098426,경기 부천시 은성로67번길 12 1층 104호
강촌숯불닭광장,소사본동,37.4775808615708,126.795254559409,경기 부천시 소사로 215
아찔한국물떡볶이,소사본동,37.4738510499597,126.795303128974,경기 부천시 소사로 175
커피에반하다,소사본동,37.4804312806207,126.798216295518,경기 부천시 부흥로 471-3
장금이분식,소사본동,37.4726105580656,126.79647617259,경기 부천시 신흥로73번길 60
명랑시대쌀핫도그,소사본동,37.4719685398419,126.803348678275,경기 부천시 호현로489번길 25
제육대가,소사본동,37.4732649860734,126.796149129552,경기 부천시 소사로170번길 12 1층 일부호
꼬꼬댁,소사본동,37.4701722715909,126.795938721739,경기 부천시 소사로 133 동보빌라
명동찌개마을,소사본동,37.4758423692137,126.795305080353,경기 부천시 소사로 195-1
순살만공격,소사본동,37.4756940340476,126.801095972016,경기 부천시 소안로 10
복사골전집,소사본동,37.4745735895091,126.799011045014,경기 부천시 은성로76번길 14
라화쿵부,소사본동,37.4818210660789,126.794892505889,경기 부천시 경인옛로 25 103동 B121
스시희,소사본동,37.4690505361037,126.800817729102,경기 부천시 소사로102번길 59
아이스365,소사본동,37.4818210660789,126.794892505889,경기 부천시 경인옛로 25
소새울양과점,소사본동,37.4810414551166,126.794430155209,경기 부천시 경인옛로 22 101호 소새울 양과점
부자돌솥설렁탕,소사동,37.4857793335271,126.791628985058,경기 부천시 부흥로 471-8
만나국수,소사동,37.4846229682351,126.793094909982,경기 부천시 부일로571번길 13
마포갈매기소사역점,소사동,37.4837063634135,126.794217730454,경기 부천시 소사로 287
본죽,소사동,37.4859069613211,126.791773923085,경기 부천시 부일로571번길 49 2층
돈토랑나랑,소사동,37.4865308582374,126.790226080348,경기 부천시 부흥로 459
부천성모장례식장,소사동,37.4874874535625,126.793014902041,경기 부천시 소사로 327
충남방앗간,소사동,37.4849572217197,126.793179989251,경기 부천시 부일로571번길 20
크로바커피숍,소사동,37.4859656130066,126.790461340322,경기 부천시 부흥로 466
집밥권선생,소사동,37.4848265867757,126.791859165268,경기 부천시 부일로 565-1
동대문엽기떡볶이범박점,괴안동,37.4746878713929,126.803169653432,경기 부천시 은성로 111 1층
신정상회,괴안동,37.4826181421088,126.808628689307,경기 부천시 소삼로 11
파리바게뜨,괴안동,37.4793365900098,126.806668282063,경기 부천시 경인로 509 우남타워 1층 104호
촌가추어탕,괴안동,37.4741425909136,126.804489782099,경기 부천시 소사동로 91-1
BBQ치킨,괴안동,37.4768506939119,126.807657506866,
복사골포차,괴안동,37.4778560356652,126.809959267251,경기 부천시 범안로 54
경기부천소사지역자활센터음식점,괴안동,37.4832396464344,126.808607513337,경기 부천시 소사로 456 원미도서관 지하1층
까페러브,괴안동,37.4768998449134,126.808063737474,경기 부천시 양지로 20
바지락칼국수수제비,괴안동,37.4806208311215,126.8044657156,경기 부천시 경인옛로 123-1
두리마루,괴안동,37.4797912893536,126.803517896653,경기 부천시 범안로22번길 56
피자마루,괴안동,37.48252029162,126.806968154685,경기 부천시 부광로8번길 39
페리카나,괴안동,37.4816253996941,126.804901972293,경기 부천시 부광로8번길 39
뚜레쥬르,괴안동,37.4789701909079,126.806968069891,경기 부천시 경인로 517
참치#,괴안동,37.4789102098448,126.807274290373,경기 부천시 범안로 55 홈타운프라자 1층 114호
이모네족발,괴안동,37.4769512551669,126.802455203617,경기 부천시 소사로159번길 17
낙원떡방앗간,괴안동,37.4792911877491,126.805741892816,경기 부천시 경인옛로118번길 33 1층 상가
맛나김밥,괴안동,37.4797945465785,126.805620818273,경기 부천시 경인옛로118번길 27
처갓집양념치킨,괴안동,37.4790292662784,126.807464603303,경기 부천시 안곡로 46
"괴안,범박굽네치킨",괴안동,37.4754378777422,126.806945086429,경기 부천시 은성로117번길 8 1층
멕시카나,괴안동,37.4807917974614,126.80533358892,경기 부천시 부광로 30
싱싱수산,괴안동,37.4797945465785,126.805620818273,경기 부천시 안곡로30번길 7
피자스쿨,괴안동,37.4744025614773,126.803468146227,경기 부천시 은성로 115
제일감자탕,괴안동,37.4827867997768,126.809270496769,경기 부천시 경인로497번길 13
이모네족발,괴안동,37.4768506939119,126.807657506866,경기 부천시 소사로159번길 17
돈앤밥스,괴안동,37.4745096386535,126.80336468946,경기 부천시 은성로 113-1
윤피자,괴안동,37.4768506939119,126.807657506866,경기 부천시 범안로 60 104호
커피에반하다,괴안동,37.480460866444,126.80557629261,경기 부천시 범안로 10 109호
한마당식당,괴안동,37.4793493105138,126.804361606118,경기 부천시 범안로8번길 19
영구스피자,괴안동,37.4768998449134,126.808063737474,경기 부천시 범안로 55 홈타운프라자 104호 영구스피자
바지락손칼국수,괴안동,37.4780752288297,126.807570213546,경기 부천시 소사동로 119
신정상회,괴안동,37.4828031084757,126.809100636418,경기 부천시 소삼로 11
네네치킨,괴안동,37.4742071404344,126.804635724932,경기 부천시 소사동로 93
맛나,괴안동,37.4806208311215,126.8044657156,경기 부천시 경인옛로108번길 15
