상호명,업종중분류명,업종소분류명,표준산업분류명,행정동명,위도,경도,네이버키워드,naver_store_url,store_address
레몬,커피점/카페,커피전문점/카페/다방,비알콜 음료점업,대야동,37.4662042809864,126.784166821241,대야동%20레몬,https://m.place.naver.com/restaurant/1639174302,경기 시흥시 비둘기공원7길 39 4층 404호
바람부리명태찜,한식,한식/백반/한정식,한식 음식점업,대야동,37.4453444711306,126.786730802156,대야동%20바람부리명태찜,https://m.place.naver.com/restaurant/18225574,경기 시흥시 복지로53번길 22 청솔쉐르빌3차
롯데슈퍼,제과제빵떡케익,제과점,제과점업,대야동,37.3266013787886,126.918423949498,대야동%20롯데슈퍼,https://m.place.naver.com/restaurant/11625310,경기 시흥시 비둘기공원로 28
푸라닭치킨,닭/오리요리,후라이드/양념치킨,치킨 전문점,대야동,37.4400585942542,126.788805008221,대야동%20푸라닭치킨,https://m.place.naver.com/restaurant/1493134777,경기 시흥시 수인로3312번길 16
제주흑돼지전문점,한식,갈비/삼겹살,한식 음식점업,대야동,37.4426437364331,126.790481042823,대야동%20제주흑돼지전문점,https://m.place.naver.com/restaurant/1318899764,경기 시흥시 비둘기공원5길 15
구들짱삼겹살전문점,한식,갈비/삼겹살,한식 음식점업,대야동,37.4426437364331,126.790481042823,대야동%20구들짱삼겹살전문점,https://m.place.naver.com/restaurant/13120831,경기 시흥시 비둘기공원5길 15 은행프라자203호
깻잎두마리치킨,닭/오리요리,후라이드/양념치킨,치킨 전문점,대야동,37.4419591937493,126.786988878072,대야동%20깻잎두마리치킨,https://m.place.naver.com/restaurant/33821259,경기 시흥시 대골안길 7
마산아구찜시흥본점,일식/수산물,아구전문,한식 음식점업,대야동,37.4400625558595,126.792714851973,대야동%20마산아구찜시흥본점,https://m.place.naver.com/restaurant/1087701167,경기 시흥시 대은로 13-1
스타벅스,커피점/카페,커피전문점/카페/다방,비알콜 음료점업,대야동,37.4417135512652,126.78763697534,대야동%20스타벅스,https://m.place.naver.com/restaurant/1446263639,경기 시흥시 비둘기공원7길 51
피자집,패스트푸드,피자전문,"피자, 햄버거, 샌드위치 및 유사 음식점업",대야동,37.3163024110995,126.922407378517,대야동%20피자집,https://m.place.naver.com/restaurant/11783236,경기 시흥시 은행로 180 은계빌딩
컴포즈커피,커피점/카페,커피전문점/카페/다방,비알콜 음료점업,대야동,37.4400585942542,126.788805008221,대야동%20컴포즈커피,https://m.place.naver.com/restaurant/1423218900,경기 시흥시 은계로 353 102호
봉평메밀막국수,분식,국수/만두/칼국수,분식 및 김밥 전문점,대야동,37.3270112419984,126.918903264297,대야동%20봉평메밀막국수,https://m.place.naver.com/restaurant/13454359,경기 시흥시 호현로10번길 21-6
진주식당,한식,한식/백반/한정식,한식 음식점업,대야동,37.4475917606751,126.812823469091,대야동%20진주식당,https://m.place.naver.com/restaurant/1272719916,경기 부천시 성주로269번길 9
계수리원조양평해장국,한식,해장국/감자탕,한식 음식점업,대야동,37.448009040436,126.807731187089,대야동%20계수리원조양평해장국,https://m.place.naver.com/restaurant/38711603,경기 시흥시 범안로 314
파리바게뜨,제과제빵떡케익,제과점,제과점업,대야동,37.450990135796,126.796042843365,대야동%20파리바게뜨,https://m.place.naver.com/restaurant/1930695071,경기 시흥시 은계로338번길 42 1층
BBQ치킨,닭/오리요리,후라이드/양념치킨,치킨 전문점,대야동,37.4424649502175,126.792382433969,대야동%20BBQ치킨,https://m.place.naver.com/restaurant/1441347332,경기 시흥시 은계중앙로 358
산마루,한식,한식/백반/한정식,한식 음식점업,대야동,37.4713241796913,126.783484724913,대야동%20산마루,https://m.place.naver.com/restaurant/31708130,경기 시흥시 호현로 278-47
꽐라7080라이브단란주점,유흥주점,룸살롱/단란주점,일반유흥 주점업,대야동,37.4435906025551,126.790556206749,대야동%20꽐라7080라이브단란주점,https://m.place.naver.com/restaurant/1047156084,경기 시흥시 비둘기공원5길 6 (대야동)
골목참치초밥,일식/수산물,음식점-일식,일식 음식점업,대야동,37.4454345116433,126.798188684923,대야동%20골목참치초밥,https://m.place.naver.com/restaurant/1268931367,경기 시흥시 은행로167번길 3 1층
한끼의설레임,한식,한식/백반/한정식,한식 음식점업,대야동,37.4520801670615,126.799562937052,대야동%20한끼의설레임,https://m.place.naver.com/restaurant/1440813109,경기 시흥시 은계중앙로306번길 25
참맛식당,한식,한식/백반/한정식,한식 음식점업,대야동,37.4436025680713,126.785572343397,대야동%20참맛식당,https://m.place.naver.com/restaurant/1839190581,경기 시흥시 호현로40번길 4-1
한량이야기,유흥주점,빠/카페/스탠드빠,일반유흥 주점업,대야동,37.4462851428982,126.785325557835,대야동%20한량이야기,https://m.place.naver.com/restaurant/34052628,경기 시흥시 호현로63번길 8-1 석윤스카이빌(A동)
시골밥상냉면,한식,한식/백반/한정식,한식 음식점업,대야동,37.4523164381763,126.795332152115,대야동%20시골밥상냉면,https://m.place.naver.com/restaurant/1697610178,경기 시흥시 은계중앙로306번길 70 SR파크뷰 2층
딜라이트,커피점/카페,커피전문점/카페/다방,비알콜 음료점업,대야동,37.3149745795616,126.919086954526,대야동%20딜라이트,https://m.place.naver.com/restaurant/1608240103,경기 시흥시 비둘기공원2길 16-1 1층
이백,커피점/카페,커피전문점/카페/다방,비알콜 음료점업,대야동,37.3331154900154,126.904642594613,대야동%20이백,https://m.place.naver.com/restaurant/1485644870,경기 부천시 안곡로 12 1층
54김문기국밥,한식,한식/백반/한정식,한식 음식점업,대야동,37.4520141644787,126.795732574214,대야동%2054김문기국밥,https://m.place.naver.com/restaurant/1026337474,경기 시흥시 은계중앙로306번길 69 110호
대야숯불갈비,한식,갈비/삼겹살,한식 음식점업,대야동,37.4437370880053,126.787265297917,대야동%20대야숯불갈비,https://m.place.naver.com/restaurant/1665807508,경기 시흥시 대골안길 67
광일식당,한식,한식/백반/한정식,한식 음식점업,대야동,37.4704014313296,126.783126619542,대야동%20광일식당,https://m.place.naver.com/restaurant/17887933,경기 시흥시 하우로122번길 55
우정식당,한식,한식/백반/한정식,한식 음식점업,대야동,37.4448704398411,126.78971062866,대야동%20우정식당,https://m.place.naver.com/restaurant/1509043867,경기 시흥시 복지로71번길 4
흙과사람들,한식,한식/백반/한정식,한식 음식점업,대야동,37.4439043068097,126.792155883243,대야동%20흙과사람들,https://m.place.naver.com/restaurant/12978633,경기 시흥시 비둘기공원로 21 대야하이빌 2층
준참치,일식/수산물,횟집,한식 음식점업,대야동,37.4404128670871,126.792607520342,대야동%20준참치,https://m.place.naver.com/restaurant/17890325,경기 시흥시 비둘기공원2길 16-1
