상호명,업종중분류명,업종소분류명,표준산업분류명,행정동명,위도,경도
동대문엽기떡볶이별내점,분식,떡볶이전문,분식 및 김밥 전문점,별내동,37.6479764250471,127.123365273643
커피베이남양주별내,커피점/카페,커피전문점/카페/다방,비알콜 음료점업,별내동,37.6502659735369,127.11264057241
통큰소한마리,한식,갈비/삼겹살,한식 음식점업,별내동,37.6508797023797,127.111579348075
허리우드당구클럽,한식,한식/백반/한정식,한식 음식점업,별내동,37.6656509142938,127.118011468397
정가네밥상,한식,한식/백반/한정식,한식 음식점업,별내동,37.6665903074577,127.121944893092
교촌치킨,닭/오리요리,후라이드/양념치킨,치킨 전문점,별내동,37.6526985006229,127.115002841849
고마우이,한식,한식/백반/한정식,한식 음식점업,별내동,37.6512785125172,127.111891908496
투다리,유흥주점,소주방/포장마차,기타 주점업,별내동,37.6512596030571,127.115371226955
미하스,커피점/카페,커피전문점/카페/다방,비알콜 음료점업,별내동,37.6499344944398,127.120112536507
담터,분식,라면김밥분식,분식 및 김밥 전문점,별내동,37.6488029681847,127.107422514366
오형제손짜장,중식,중국음식/중국집,중식 음식점업,별내동,37.6563429359715,127.126451582649
더치앤빈,커피점/카페,커피전문점/카페/다방,비알콜 음료점업,별내동,37.6505692298466,127.112228996062
또와술집,유흥주점,호프/맥주,기타 주점업,별내동,37.6567321370457,127.125472351009
명가소나무집,닭/오리요리,오리고기전문,한식 음식점업,별내동,37.6504449786719,127.110088646718
37웨버생고기바베큐,한식,한식/백반/한정식,한식 음식점업,별내동,37.6507101852626,127.114199167456
이디야커피,커피점/카페,커피전문점/카페/다방,비알콜 음료점업,별내동,37.6438762312748,127.11006503441
방태막국수,분식,국수/만두/칼국수,분식 및 김밥 전문점,별내동,37.6469866274542,127.122334371458
몰티커피,커피점/카페,커피전문점/카페/다방,비알콜 음료점업,별내동,37.646875127918,127.125519945422
푸라닭,패스트푸드,피자전문,"피자, 햄버거, 샌드위치 및 유사 음식점업",별내동,37.6576188657209,127.128408667628
빠마,유흥주점,호프/맥주,기타 주점업,별내동,37.6469266784902,127.122754357173
빵에갸또,커피점/카페,커피전문점/카페/다방,비알콜 음료점업,별내동,37.6580747537009,127.127915993443
파스타즈,양식,정통양식/경양식,서양식 음식점업,별내동,37.6518816888284,127.11542051073
길조,닭/오리요리,후라이드/양념치킨,치킨 전문점,별내동,37.6658802590429,127.11614985109
가락동회수산정육식당,한식,기타고기요리,한식 음식점업,별내동,37.6464925003373,127.126170346094
박가네찌개,한식,한식/백반/한정식,한식 음식점업,별내동,37.6508797023797,127.111579348075
버거킹,패스트푸드,패스트푸드,그외 기타 음식점업,별내동,37.6557695825056,127.129336944859
메가커피,커피점/카페,커피전문점/카페/다방,비알콜 음료점업,별내동,37.6666147026926,127.116764560686
백금당,커피점/카페,커피전문점/카페/다방,비알콜 음료점업,별내동,37.6568535967686,127.127272938842
별내칼국수,한식,한식/백반/한정식,한식 음식점업,별내동,37.6665204333356,127.117411765638
엄마손전통맛집,한식,한식/백반/한정식,한식 음식점업,별내동,37.6471681121859,127.108087998934
배달삼겹돼지되지,한식,갈비/삼겹살,한식 음식점업,별내동,37.654866661521,127.123000946636
활어회마을,한식,한식/백반/한정식,한식 음식점업,별내동,37.6513206238042,127.113897270125
BBQ치킨,유흥주점,호프/맥주,기타 주점업,별내동,37.6474761800105,127.122736562192
콩족콩족,한식,한식/백반/한정식,한식 음식점업,별내동,37.6486196423737,127.123833663998
마산식당,한식,한식/백반/한정식,한식 음식점업,별내동,37.6507992428675,127.112860876855
두릉도원북촌순두부,한식,한식/백반/한정식,한식 음식점업,별내동,37.6473042401309,127.12384911638
뭉티기집,일식/수산물,횟집,한식 음식점업,별내동,37.6467592864617,127.123266260293
타오타이랑,한식,한식/백반/한정식,한식 음식점업,별내동,37.6470725170726,127.122979280345
분식카페더집,분식,라면김밥분식,분식 및 김밥 전문점,별내동,37.6518775239551,127.114865260456
꼬치데이,유흥주점,꼬치구이전문점,기타 주점업,별내동,37.6679969589752,127.118459780185
오-풍미족발,한식,족발/보쌈전문,한식 음식점업,별내동,37.6454385434525,127.126205356664
무지개떡집,제과제빵떡케익,떡전문,제과점업,별내동,37.6676858215079,127.116615846794
유앤나,분식,라면김밥분식,분식 및 김밥 전문점,별내동,37.6578829067862,127.128779588745
컵스탑,커피점/카페,커피전문점/카페/다방,비알콜 음료점업,별내동,37.6582247042074,127.125046833567
놀부부대찌개&철판구이,한식,부대찌개/섞어찌개,한식 음식점업,별내동,37.6660027360867,127.114459514378
서임푸드,한식,한식/백반/한정식,한식 음식점업,별내동,37.6747943689569,127.132311482514
아씨네족발,한식,족발/보쌈전문,한식 음식점업,별내동,37.64700178787,127.123161422595
바보스,유흥주점,호프/맥주,기타 주점업,별내동,37.6441496516124,127.117676520966
집밥,한식,한식/백반/한정식,한식 음식점업,별내동,37.6582666707886,127.114970751497
상진푸드별내,분식,라면김밥분식,분식 및 김밥 전문점,별내동,37.6477548035615,127.122642628828
고깃간,한식,기타고기요리,한식 음식점업,별내동,37.6661221573297,127.114764135474
메가커피,커피점/카페,커피전문점/카페/다방,비알콜 음료점업,별내동,37.6476233663085,127.123142783214
이디야커피,커피점/카페,커피전문점/카페/다방,비알콜 음료점업,별내동,37.6673136278817,127.1162462034
신의주찹쌀순대,한식,한식/백반/한정식,한식 음식점업,별내동,37.6499691873772,127.113913327437
탐라,한식,한식/백반/한정식,한식 음식점업,별내동,37.6474237231302,127.122952486718
밥장인별내,한식,한식/백반/한정식,한식 음식점업,별내동,37.6571118155703,127.124425220289
송가족발,한식,족발/보쌈전문,한식 음식점업,별내동,37.6468929146149,127.123060715447
대동집,한식,한식/백반/한정식,한식 음식점업,별내동,37.6517611566116,127.113767376725
5.5닭갈비별내점,닭/오리요리,닭갈비전문,한식 음식점업,별내동,37.6657620303148,127.114802416864
바다향기,일식/수산물,횟집,한식 음식점업,별내동,37.6577808801897,127.124734702548
배스킨라빈스별내북부점,패스트푸드,아이스크림판매,제과점업,별내동,37.6669955649374,127.117088760815
멜레아그린,한식,한식/백반/한정식,한식 음식점업,별내동,37.6587664335015,127.128848600224
